classification,count
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Aspergillus,5
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Diplostephanus,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Eurotium,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Eurotium|Eurotium herbariorum,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Sterigmatocystis,1
Fungi|Ascomycota|Pezizomycotina|Exosporium,3
Fungi|Ascomycota|Pezizomycotina|Fumago,1
Fungi|Ascomycota|Pezizomycotina|Gonatobotryum,1
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Dothideomycetes|Lecanoromycetidae|Botryosphaeriales|Thelocarpaceae|Botryosphaeriaceae|Sphaeropsis,4
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae|Xanthoparmelia,1
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Teloschistales|Physciaceae|Physcia|Physcia obscura,1
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales|Graphidaceae|Graphis,1
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales|Odontotremataceae|Odontotrema,2
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales|Stictidaceae|Stictis,3
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Chaetomella,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes|Leotiomycetidae|Rhytismatales|Hysteriales|Rhytismataceae|Hysteriaceae|Hysterium,4
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes|Leotiomycetidae|Rhytismatales|Hysteriales|Rhytismataceae|Hysteriaceae|Hysterium|Hysterium acuminatum,2
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Eurotiomycetes|Leotiomycetidae|Eurotiomycetidae|Helotiales|Eurotiales|Trichocomaceae|Sclerotiniaceae|Penicillium,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Hainesia,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Erysiphales|Erysiphaceae|Erysiphe,53
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Erysiphales|Erysiphaceae|Microsphaera,14
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Erysiphales|Erysiphaceae|Oidium,2
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Erysiphales|Erysiphaceae|Phyllactinia,6
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Erysiphales|Erysiphaceae|Podosphaera,2
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Erysiphales|Erysiphaceae|Uncinula,13
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Erysiphales|Erysiphaceae|Uncinula|Uncinula salicis,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales,3
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Ascocorticiaceae|Ascocorticium,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Catinula,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Chloroscypha,2
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Cylindrosporium,11
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Belonium,3
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Chlorosplenium,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Gloeosporium,13
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Marssonia,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Marssonia|Marssonia potentillae,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Marssonina,7
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Mollisia,8
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Pseudopeziza,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Tapesia,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Tapesia|Tapesia melaleucoides,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Dermateaceae|Trichobelonium,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Geoglossaceae|Geoglossum,2
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Geoglossaceae|Trichoglossum,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae,13
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Belonioscypha,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Bothrodiscus,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Chlorociboria,11
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Clithris,5
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Coryne,8
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Coryne|Coryne sarcoides,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Godronia,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Heteropatella,4
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Patellea,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Pseudodiscosia,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Scelobelonium,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Stamnaria,5
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Helotiaceae|Tympanis,4
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Leotiomycetidae|Helotiales|Hemiphacidiaceae|Helotiaceae|Mitrula,2
